datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2026-02-01T09:30:00.000000Z,2026-02-01,DEFAULT,CASH,CUSTOMER_INBOUND,,Jane Doe,,,,,,,EUR,,,,"Monthly salary February 2026",00000000-0000-4002-8000-000000000001,Jane Doe,DE89370400440532013000,,
2026-02-01T10:00:00.000000Z,2026-02-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Hausverwaltung Berlin Mitte,,,,,,,EUR,,,,"Rent February 2026",00000000-0000-4002-8000-000000000002,Hausverwaltung Berlin Mitte,DE02120300000000202051,Miete 02/2026,
2026-02-01T11:00:00.000000Z,2026-02-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,FitnessFi Sport GmbH,,,,,,,EUR,,,,"Monthly gym membership",00000000-0000-4002-8000-000000000003,FitnessFi Sport GmbH,DE56200400600534561800,Mitgliedschaft 02/2026,7997
2026-02-03T14:30:00.000000Z,2026-02-03,DEFAULT,TRADING,BUY,STOCK,Apple,US0378331005,10.0,188.5,-1885.0,-1.0,,EUR,,,,,00000000-0000-4002-8000-000000000004,,,,
2026-02-04T09:15:00.000000Z,2026-02-04,DEFAULT,TRADING,BUY,STOCK,NVIDIA,US67066G1040,3.0,648.2,-1944.6,-1.5,,EUR,,,,,00000000-0000-4002-8000-000000000005,,,,
2026-02-05T10:00:00.000000Z,2026-02-05,DEFAULT,TRADING,BUY,FUND,Core MSCI World USD (Acc),IE00B4L5Y983,15.0,83.2,-1248.0,-1.0,,EUR,,,,,00000000-0000-4002-8000-000000000006,,,,
2026-02-06T10:00:00.000000Z,2026-02-06,DEFAULT,TRADING,BUY,FUND,MSCI EM USD (Acc),IE00B4L5YC18,20.0,37.4,-748.0,-1.0,,EUR,,,,,00000000-0000-4002-8000-000000000007,,,,
2026-02-10T17:30:00.000000Z,2026-02-10,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Rewe,,,,,,,EUR,,,,,00000000-0000-4002-8000-000000000008,Rewe,,,5411
2026-02-14T00:00:00.000000Z,2026-02-14,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Telekom Deutschland GmbH,,,,,,,EUR,,,,"Monthly internet",00000000-0000-4002-8000-000000000009,Telekom Deutschland GmbH,DE12500105170648489890,,4813
2026-02-15T00:00:00.000000Z,2026-02-15,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Stadtwerke Berlin,,,,,,,EUR,,,,"Monthly electricity",00000000-0000-4002-8000-00000000000a,Stadtwerke Berlin,DE44500105175407324931,,4911
2026-02-22T11:00:00.000000Z,2026-02-22,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Edeka,,,,,,,EUR,,,,,00000000-0000-4002-8000-00000000000b,Edeka,,,5411
